3Alpha_Code,Taxonomic_Code,Name_en,Scientific_Name
LMT,1080200701,Broadfin shark,Lamiopsis temmincki
CNX,1080200801,Whitenose shark,Nasolamia velox
CCP,1080201001,Sandbar shark,Carcharhinus plumbeus
CCY,1080201002,Graceful shark,Carcharhinus amblyrhynchoides
CCL,1080201003,Blacktip shark,Carcharhinus limbatus
BLR,1080201005,Blacktip reef shark,Carcharhinus melanopterus
AML,1080201006,Grey reef shark,Carcharhinus amblyrhynchos
CCF,1080201007,Pigeye shark,Carcharhinus amboinensis
CCX,1080201008,Borneo shark,Carcharhinus borneensis
CCN,1080201009,Blacknose shark,Carcharhinus acronotus
CCC,1080201010,Nervous shark,Carcharhinus cautus
OCS,1080201011,Oceanic whitetip shark,Carcharhinus longimanus
CCR,1080201012,Smalltail shark,Carcharhinus porosus
CCD,1080201014,Whitecheek shark,Carcharhinus dussumieri
CCZ,1080201015,Creek whaler,Carcharhinus fitzroyensis
DUS,1080201016,Dusky shark,Carcharhinus obscurus
FAL,1080201017,Silky shark,Carcharhinus falciformis
CCE,1080201018,Bull shark,Carcharhinus leucas
ALS,1080201019,Silvertip shark,Carcharhinus albimarginatus
BRO,1080201020,Copper shark,Carcharhinus brachyurus
CCB,1080201021,Spinner shark,Carcharhinus brevipinna
CCI,1080201022,Blackspot shark,Carcharhinus sealei
CCS,1080201023,Night shark,Carcharhinus signatus
CCM,1080201024,Hardnose shark,Carcharhinus macloti
CCO,1080201025,Finetooth shark,Carcharhinus isodon
CCA,1080201026,Bignose shark,Carcharhinus altimus
CCG,1080201027,Galapagos shark,Carcharhinus galapagensis
CCK,1080201028,Pondicherry shark,Carcharhinus hemiodon
CCJ,1080201029,,Carcharhinus leiodon
CCV,1080201030,Caribbean reef shark,Carcharhinus perezi
CCQ,1080201031,Spottail shark,Carcharhinus sorrah
CCU,1080201032,Australian blacktip shark,Carcharhinus tilstoni
CCW,1080201033,Blacktail reef shark,Carcharhinus wheeleri
CWZ,10802010XX,Carcharhinus sharks nei,Carcharhinus spp
TIG,1080201703,Tiger shark,Galeocerdo cuvier
SLA,1080202101,Spadenose shark,Scoliodon laticaudus
TRB,1080202201,Whitetip reef shark,Triaenodon obesus
NGB,1080202701,Lemon shark,Negaprion brevirostris
NGA,1080202702,Sicklefin lemon shark,Negaprion acutidens
CLD,1080203201,Sliteye shark,Loxodon macrorhinus
CGA,1080203301,Ganges shark,Glyphis gangeticus
CGG,1080203302,Speartooth shark,Glyphis glyphis
RHT,1080204001,Atlantic sharpnose shark,Rhizoprionodon terraenovae
RHA,1080204002,Milk shark,Rhizoprionodon acutus
RHL,1080204003,Brazilian sharpnose shark,Rhizoprionodon lalandii
RHU,1080204004,Pacific sharpnose shark,Rhizoprionodon longurio
RHX,1080204005,Grey sharpnose shark,Rhizoprionodon oligolinx
RHR,1080204006,Caribbean sharpnose shark,Rhizoprionodon porosus
RHY,1080204007,Australian sharpnose shark,Rhizoprionodon taylori
RHZ,10802040XX,Sharpnose sharks nei,Rhizoprionodon spp
RSK,10802XXXXX,Requiem sharks nei,Carcharhinidae
EUB,1080300401,Winghead shark,Eusphyra blochii
SPZ,1080300501,Smooth hammerhead,Sphyrna zygaena
SSN,1080300503,Scalloped bonnethead,Sphyrna corona
SPV,1080300504,Whitefin hammerhead,Sphyrna couardi
SPL,1080300506,Scalloped hammerhead,Sphyrna lewini
SPE,1080300507,Scoophead,Sphyrna media
SPQ,1080300508,Smalleye hammerhead,Sphyrna tudes
SPJ,1080300509,Bonnethead,Sphyrna tiburo
SPK,1080300510,Great hammerhead,Sphyrna mokarran
SPN,10803005XX,Hammerhead sharks nei,Sphyrna spp
SPY,10803XXXXX,"Hammerhead sharks, etc. nei",Sphyrnidae
CTU,1080400701,Gummy shark,Mustelus antarcticus
CTN,1080400702,Grey smooth-hound,Mustelus californicus
CTI,1080400703,Dusky smooth-hound,Mustelus canis
CTD,1080400704,Sharptooth smooth-hound,Mustelus dorsalis
CTF,1080400705,Striped smooth-hound,Mustelus fasciatus
CTE,1080400706,Spotless smooth-hound,Mustelus griseus
CTK,1080400707,Brown smooth-hound,Mustelus henlei
CTJ,1080400708,Smalleye smooth-hound,Mustelus higmani
MTL,1080400709,Spotted estuary smooth-hound,Mustelus lenticulatus
MUU,1080400710,Sicklefin smooth-hound,Mustelus lunulatus
MTZ,1080400711,Starspotted smooth-hound,Mustelus manazo
SDP,1080400712,Narrownose smooth-hound,Mustelus schmitti
SMD,1080400713,Smooth-hound,Mustelus mustelus
MTR,1080400714,Narrowfin smooth-hound,Mustelus norrisi
SDS,1080400715,Starry smooth-hound,Mustelus asterias
MTE,1080400716,Speckled smooth-hound,Mustelus mento
MTM,1080400717,Arabian smooth-hound,Mustelus mosis
MUP,1080400718,Whitespotted smooth-hound,Mustelus palumbes
MPT,1080400720,Blackspotted smooth-hound,Mustelus punctulatus
MUW,1080400721,Humpback smooth-hound,Mustelus whitneyi
SDV,10804007XX,Smooth-hounds nei,Mustelus spp
GAG,1080401103,Tope shark,Galeorhinus galeus
TTA,1080402301,Sharpfin houndshark,Triakis acutipinna
LES,1080402302,Leopard shark,Triakis semifasciata
TTM,1080402303,Spotted houndshark,Triakis maculata
TTE,1080402304,Sharptooth houndshark,Triakis megalopterus
TTY,1080402305,Banded houndshark,Triakis scyllium
TIK,1080402401,Longnose houndshark,Iago garricki
TIO,1080402402,Bigeye houndshark,Iago omanensis
TGF,1080402501,Sailback houndshark,Gogolia filewoodi
THH,1080402701,Blacktipe tope,Hypogaleus hyugaensis
TFM,1080402801,Whiskery shark,Furgaleus macki
THJ,1080402901,Japanese topeshark,Hemitriakis japanica
THL,1080402902,Whitefin topeshark,Hemitriakis leucoperiptera
TSK,1080403001,Flapnose houndshark,Scylliogaleus quecketti
TRK,10804XXXXX,"Houndsharks, smoothhounds nei",Triakidae
PTM,1080502801,False catshark,Pseudotriakis microdon
HCM,1080600101,Hooktooth shark,Chaenogaleus macrostoma
