"year","production_area","country","iso","general_name","species","common_name","sci_name","quantity","aquaculture","log10_aqua","post"
1976,51,"French Southern Territories","ATF","Lobster","JSP","st.paul rock lobster","Jasus paulensis",333,0,0,1
1976,27,"Germany","DEU","Lobster","LBE","european lobster","Homarus gammarus",1,0,0,1
1976,27,"Germany","DEU","Lobster","NEP","norway lobster","Nephrops norvegicus",12,0,0,1
1976,27,"Germany","DEU","Salmon","SAL","atlantic salmon","Salmo salar",67,1651,3.21774707326279,1
1976,34,"Ghana","GHA","Lobster","SLV","tropical spiny lobsters","Panulirus spp",10,0,0,1
1976,37,"Greece","GRC","Lobster","NEP","norway lobster","Nephrops norvegicus",577,0,0,1
1976,21,"Greenland","GRL","Salmon","SAL","atlantic salmon","Salmo salar",1175,1651,3.21774707326279,1
1976,77,"Guatemala","GTM","Lobster","SLV","tropical spiny lobsters","Panulirus spp",5,0,0,1
1976,31,"Haiti","HTI","Lobster","SLC","caribbean spiny lobster","Panulirus argus",100,0,0,1
1976,31,"Honduras","HND","Lobster","SLC","caribbean spiny lobster","Panulirus argus",1959,0,0,1
1976,27,"Iceland","ISL","Lobster","NEP","norway lobster","Nephrops norvegicus",2780,0,0,1
1976,5,"Iceland","ISL","Salmon","SAL","atlantic salmon","Salmo salar",225,1651,3.21774707326279,1
1976,71,"Indonesia","IDN","Lobster","SLV","tropical spiny lobsters","Panulirus spp",457,0,0,1
1976,57,"Indonesia","IDN","Lobster","SLV","tropical spiny lobsters","Panulirus spp",1113,0,0,1
1976,27,"Ireland","IRL","Lobster","CRW","palinurid spiny lobsters","Palinurus spp",85,0,0,1
1976,27,"Ireland","IRL","Lobster","LBE","european lobster","Homarus gammarus",369,0,0,1
1976,27,"Ireland","IRL","Lobster","NEP","norway lobster","Nephrops norvegicus",1909,0,0,1
1976,27,"Ireland","IRL","Salmon","SAL","atlantic salmon","Salmo salar",1540,1651,3.21774707326279,1
1976,27,"Isle of Man","IMN","Lobster","LBE","european lobster","Homarus gammarus",6,0,0,1
1976,27,"Isle of Man","IMN","Lobster","NEP","norway lobster","Nephrops norvegicus",36,0,0,1
