"year","country","genus","species","sci_name","quantity","aquaculture","post","group","year_start"
1950,"LKA","Scomberomorus","COM","Scomberomorus commerson",1589,0,0,0,1984.6
1950,"LKA","Scomberomorus","GUT","Scomberomorus guttatus",161,0,0,0,1984.6
1950,"LKA","Scomberomorus","STS","Scomberomorus lineolatus",15,0,0,0,1984.6
1950,"MAR","Engraulis","ANE","Engraulis encrasicolus",400,0,0,0,1984.6
1950,"MAR","Merluccius","HKE","Merluccius merluccius",1800,0,0,0,1984.6
1950,"MAR","Sardina","PIL","Sardina pilchardus",113200,0,0,0,1984.6
1950,"MAR","Scomber","VMA","Scomber colias",1000,0,0,0,1984.6
1950,"MAR","Sepiidae,","CTL","Sepiidae, Sepiolidae",300,0,0,0,1984.6
1950,"MDG","Auxis","FRZ","Auxis thazard, A. rochei",82,0,0,0,1984.6
1950,"MDG","Katsuwonus","SKJ","Katsuwonus pelamis",77,0,0,0,1984.6
1950,"MDG","Scomberomorus","COM","Scomberomorus commerson",523,0,0,0,1984.6
1950,"MDG","Scomberomorus","GUT","Scomberomorus guttatus",1,0,0,0,1984.6
1950,"MDV","Auxis","FRZ","Auxis thazard, A. rochei",1500,0,0,0,1984.6
1950,"MDV","Katsuwonus","SKJ","Katsuwonus pelamis",8000,0,0,0,1984.6
1950,"MEX","Sardinops","CPI","Sardinops caeruleus",15000,0,0,0,1984.6
1950,"MLT","Scomber","VMA","Scomber colias",100,0,0,0,1984.6
1950,"MOZ","Loliginidae,","SQU","Loliginidae, Ommastrephidae",100,0,0,0,1984.6
1950,"MRT","Sardinella","SIX","Sardinella spp",1000,0,0,0,1984.6
1950,"MYS","Decapterus","RUS","Decapterus russelli",11000,0,0,0,1984.6
1950,"MYS","Nemipterus","THB","Nemipterus spp",1000,0,0,0,1984.6
1950,"MYS","Rastrelliger","RAX","Rastrelliger spp",14000,0,0,0,1984.6
1950,"MYS","Scomberomorus","KGX","Scomberomorus spp",2500,0,0,0,1984.6
1950,"MYS","Sepiidae,","CTL","Sepiidae, Sepiolidae",1000,0,0,0,1984.6
1950,"MYS","Stolephorus","STO","Stolephorus spp",9000,0,0,0,1984.6
1950,"MYS","Trichiurus","LHT","Trichiurus lepturus",500,0,0,0,1984.6
1950,"NLD","Clupea","HER","Clupea harengus",112300,0,0,0,1984.6
1950,"NLD","Engraulis","ANE","Engraulis encrasicolus",100,0,0,0,1984.6
1950,"NLD","Merluccius","HKE","Merluccius merluccius",200,0,0,0,1984.6
1950,"NLD","Scomber","MAC","Scomber scombrus",6800,0,0,0,1984.6
1950,"NLD","Sprattus","SPR","Sprattus sprattus",5500,0,0,0,1984.6
1950,"NOR","Clupea","HER","Clupea harengus",890100,0,0,0,1984.6
1950,"NOR","Mallotus","CAP","Mallotus villosus",4000,0,0,0,1984.6
1950,"NOR","Pandalus","PRA","Pandalus borealis",2300,0,0,0,1984.6
1950,"NOR","Scomber","MAC","Scomber scombrus",10400,0,0,0,1984.6
1950,"NOR","Sprattus","SPR","Sprattus sprattus",5600,0,0,0,1984.6
1950,"PAK","Sardinella","IOS","Sardinella longiceps",2800,0,0,0,1984.6
1950,"PAK","Scomberomorus","COM","Scomberomorus commerson",2100,0,0,0,1984.6
1950,"PER","Engraulis","VET","Engraulis ringens",500,0,0,0,1984.6
1950,"PER","Katsuwonus","SKJ","Katsuwonus pelamis",400,0,0,0,1984.6
