"year","production_area","country","iso","source","species","common_name","sci_name","quantity","value","lobster","salmon","general_name"
2012,51,"Saudi Arabia","SAU","Catches","THQ","Flathead lobster","Thenus orientalis",2,NA,TRUE,FALSE,"Lobster"
2012,34,"Senegal","SEN","Catches","CRW","Palinurid spiny lobsters nei","Palinurus spp",38,NA,TRUE,FALSE,"Lobster"
2012,34,"Senegal","SEN","Catches","LOS","Slipper lobsters nei","Scyllaridae",17,NA,TRUE,FALSE,"Lobster"
2012,51,"Seychelles","SYC","Catches","SLV","Tropical spiny lobsters nei","Panulirus spp",3,NA,TRUE,FALSE,"Lobster"
2012,34,"Sierra Leone","SLE","Catches","SLV","Tropical spiny lobsters nei","Panulirus spp",130,NA,TRUE,FALSE,"Lobster"
2012,71,"Singapore","SGP","Aquaculture","LMS","Mud spiny lobster","Panulirus polyphagus",8.802,342043.0053,TRUE,FALSE,"Lobster"
2012,71,"Singapore","SGP","Catches","LOS","Slipper lobsters nei","Scyllaridae",5,NA,TRUE,FALSE,"Lobster"
2012,71,"Singapore","SGP","Catches","SLV","Tropical spiny lobsters nei","Panulirus spp",5,NA,TRUE,FALSE,"Lobster"
2012,51,"Somalia","SOM","Catches","SLV","Tropical spiny lobsters nei","Panulirus spp",500,NA,TRUE,FALSE,"Lobster"
2012,47,"South Africa","ZAF","Catches","LBC","Cape rock lobster","Jasus lalandii",1879,NA,TRUE,FALSE,"Lobster"
2012,51,"South Africa","ZAF","Catches","SLN","Natal spiny lobster","Palinurus delagoae",19,NA,TRUE,FALSE,"Lobster"
2012,47,"South Africa","ZAF","Catches","SLS","Southern spiny lobster","Palinurus gilchristi",609,NA,TRUE,FALSE,"Lobster"
2012,61,"South Korea","KOR","Catches","LOJ","Longlegged spiny lobster","Panulirus longipes",1303,NA,TRUE,FALSE,"Lobster"
2012,27,"Spain","ESP","Aquaculture","SAL","Atlantic salmon","Salmo salar",4,19201.32634,FALSE,TRUE,"Salmon"
2012,34,"Spain","ESP","Catches","CRW","Palinurid spiny lobsters nei","Palinurus spp",1,NA,TRUE,FALSE,"Lobster"
2012,27,"Spain","ESP","Catches","CRW","Palinurid spiny lobsters nei","Palinurus spp",1,NA,TRUE,FALSE,"Lobster"
2012,37,"Spain","ESP","Catches","LBE","European lobster","Homarus gammarus",2,NA,TRUE,FALSE,"Lobster"
2012,27,"Spain","ESP","Catches","LBE","European lobster","Homarus gammarus",8,NA,TRUE,FALSE,"Lobster"
2012,34,"Spain","ESP","Catches","NEP","Norway lobster","Nephrops norvegicus",1,NA,TRUE,FALSE,"Lobster"
2012,37,"Spain","ESP","Catches","NEP","Norway lobster","Nephrops norvegicus",528,NA,TRUE,FALSE,"Lobster"
2012,27,"Spain","ESP","Catches","NEP","Norway lobster","Nephrops norvegicus",663,NA,TRUE,FALSE,"Lobster"
2012,5,"Spain","ESP","Catches","SAL","Atlantic salmon","Salmo salar",50,NA,FALSE,TRUE,"Salmon"
2012,37,"Spain","ESP","Catches","SLO","Common spiny lobster","Palinurus elephas",45,NA,TRUE,FALSE,"Lobster"
2012,47,"St. Helena","SHN","Catches","LBT","Tristan da Cunha rock lobster","Jasus tristani",334,NA,TRUE,FALSE,"Lobster"
2012,31,"St. Kitts & Nevis","KNA","Catches","SLC","Caribbean spiny lobster","Panulirus argus",21,NA,TRUE,FALSE,"Lobster"
