Country,Production_Area,Environment,Species,Year,Quantity,Quantity_Symbol,Value,Value_Symbol
484,2,1,CAF,1978,192,F,,
484,2,1,CAF,1979,226,F,,
484,2,1,CAF,1980,265,F,,
484,2,1,CAF,1981,308,F,,
484,2,1,CAF,1982,357,F,,
484,2,1,CAF,1983,411,F,,
484,2,1,CAF,1984,300,,390000,
484,2,1,CAF,1985,300,,390000,
484,2,1,CAF,1986,500,,495000,
484,2,1,CAF,1987,400,,476000,
484,2,1,CAF,1988,500,,595000,
484,2,1,CAF,1989,500,,595000,
484,2,1,CAF,1990,600,,714000,
484,2,1,CAF,1991,600,,720000,
484,2,1,CAF,1992,750,,900000,
484,2,1,CAF,1993,850,,1020000,
484,2,1,CAF,1994,1002,,1002000,
484,2,1,CAF,1995,282,,204988.62,
484,2,1,CAF,1996,201,,137966.4,
484,2,1,CAF,1997,485,,384993,
484,2,1,CAF,1998,629,,629000,
484,2,1,CAF,1999,663,,994500,
484,2,1,SIL,2000,250,,150000,
484,2,1,SIL,2001,11,,7712.15995,
484,2,1,SIL,2002,2,,1427.8752,
484,2,1,SIL,1984,2000,,1200000,
484,2,1,SIL,1985,1900,,1140000,
484,2,1,SIL,1986,2000,,1200000,
484,2,1,SIL,1987,2000,,1200000,
484,2,1,SIL,1988,1900,,1140000,
484,2,1,SIL,1989,2000,,1200000,
484,2,1,SIL,1990,1000,,700000,
484,2,1,SIL,1991,2000,,1200000,
484,2,1,SIL,1992,1000,,650000,
484,2,1,SIL,1993,750,,487500,
484,2,1,SIL,1994,309,,216300,
484,2,1,SIL,1995,670,,431279,
484,2,1,SIL,1996,360,,285120,
484,2,1,SIL,1997,218,,131846.4,
484,2,1,SIL,1998,216,,129600,
484,2,1,SIL,1999,217,,130200,
484,77,3,MUF,2000,1,,4000,
484,77,3,MUF,2001,0,0,0,
484,77,3,MUF,2002,0,0,0,
484,77,3,MUF,1984,0,-,0,
484,77,3,MUF,1985,0,-,0,
484,77,3,MUF,1986,0,-,0,
484,77,3,MUF,1987,0,-,0,
484,77,3,MUF,1988,0,-,0,
484,77,3,MUF,1989,0,-,0,
484,77,3,MUF,1990,0,-,0,
484,77,3,MUF,1991,0,-,0,
484,77,3,MUF,1992,0,-,0,
484,77,3,MUF,1993,0,-,0,
484,77,3,MUF,1994,3,,12000,
484,77,3,MUF,1995,0,0,0,
484,77,3,MUF,1996,0,0,0,
484,77,3,MUF,1997,0,0,0,
484,77,3,MUF,1998,0,0,0,
484,77,3,MUF,1999,0,0,0,
484,31,3,SNO,1984,0,-,0,
484,31,3,SNO,1985,0,-,0,
484,31,3,SNO,1986,0,-,0,
484,31,3,SNO,1987,0,-,0,
484,31,3,SNO,1988,0,-,0,
484,31,3,SNO,1989,0,-,0,
484,31,3,SNO,1990,0,-,0,
484,31,3,SNO,1991,0,-,0,
484,31,3,SNO,1992,0,-,0,
372,5,1,ACH,1984,0,-,0,
372,5,1,ACH,1985,0,-,0,
372,5,1,ACH,1986,0,-,0,
372,5,1,ACH,1987,0,-,0,
372,5,1,ACH,1988,0,-,0,
372,5,1,ACH,1989,0,-,0,
372,5,1,ACH,1990,0,-,0,
372,5,1,ACH,1991,0,-,0,
372,5,1,ACH,1992,0,-,0,
372,5,1,ACH,1993,0,-,0,
372,5,1,ACH,1994,0,-,0,
372,5,1,ACH,1995,0,-,0,
372,5,1,ACH,1996,0,-,0,
372,5,1,ACH,1997,0,-,0,
372,5,1,ACH,1998,50,,213500,
372,5,1,ACH,1999,56,,239120,
372,5,1,ELE,2000,1,,9893.8296,
372,5,1,ELE,1984,0,-,0,
372,5,1,ELE,1985,0,-,0,
372,5,1,ELE,1986,0,-,0,
372,5,1,ELE,1987,0,-,0,
372,5,1,ELE,1988,0,-,0,
372,5,1,ELE,1989,0,-,0,
372,5,1,ELE,1990,0,-,0,
372,5,1,ELE,1991,0,-,0,
372,5,1,ELE,1992,0,-,0,
372,5,1,ELE,1993,0,-,0,
372,5,1,ELE,1994,0,-,0,
372,5,1,ELE,1995,0,-,0,
372,5,1,ELE,1996,0,-,0,
372,5,1,ELE,1997,0,-,0,
372,5,1,ELE,1998,20,,203400,
372,5,1,ELE,1999,25,,212753.7913,
372,27,3,TUR,2000,12,,102000,
372,27,3,TUR,2001,28,,300000.96,
372,27,3,TUR,2002,50,,567600,
372,27,3,TUR,1992,3,,30690,
364,4,1,FCP,1997,5435,,15218000,
364,4,1,FCP,1998,5475,,15330000,
364,4,1,FCP,1999,4600,,12880000,
364,4,1,FCG,2000,2000,,6000000,
364,4,1,FCG,2001,4135,,12405000,
364,4,1,FCG,2002,3836,,11508000,
364,4,1,FCG,1950,0,-,,
364,4,1,FCG,1951,0,-,,
364,4,1,FCG,1952,0,-,,
364,4,1,FCG,1953,0,-,,
364,4,1,FCG,1954,0,-,,
364,4,1,FCG,1955,0,-,,
364,4,1,FCG,1956,0,-,,
364,4,1,FCG,1957,0,-,,
364,4,1,FCG,1958,0,-,,
364,4,1,FCG,1959,0,-,,
364,4,1,FCG,1960,0,-,,
364,4,1,FCG,1961,0,-,,
364,4,1,FCG,1962,0,-,,
364,4,1,FCG,1963,0,-,,
364,4,1,FCG,1964,0,-,,
364,4,1,FCG,1965,0,-,,
364,4,1,FCG,1966,0,-,,
364,4,1,FCG,1967,0,-,,
364,4,1,FCG,1968,0,-,,
364,4,1,FCG,1969,0,-,,
364,4,1,FCG,1970,0,-,,
364,4,1,FCG,1971,15,F,,
364,4,1,FCG,1972,50,F,,
364,4,1,FCG,1973,125,F,,
364,4,1,FCG,1974,200,F,,
364,4,1,FCG,1975,317,F,,
364,4,1,FCG,1976,946,F,,
364,4,1,FCG,1977,1526,F,,
392,4,1,FCP,1966,9000,F,,
392,4,1,FCP,1967,11000,F,,
376,4,1,TRR,1997,670,,4422000,
376,4,1,TRR,1998,707,,4666200,
376,4,1,TRR,1999,583,,3847800,
376,4,1,FCP,2000,6281,,18968620,
376,4,1,FCP,2001,6208,,22286720,
376,4,1,FCP,2002,7748,,13868920,
376,4,1,FCP,1950,2900,,,
376,4,1,FCP,1951,2900,,,
376,4,1,FCP,1952,3800,,,
376,4,1,FCP,1953,4700,,,
376,4,1,FCP,1954,5800,,,
376,4,1,FCP,1955,7300,,,
376,4,1,FCP,1956,6700,,,
376,4,1,FCP,1957,7600,,,
376,4,1,FCP,1958,7700,,,
376,4,1,FCP,1959,7900,,,
376,4,1,FCP,1960,8270,,,
376,4,1,FCP,1961,8854,,,
376,4,1,FCP,1962,8638,,,
376,4,1,FCP,1963,9240,,,
376,4,1,FCP,1964,9724,,,
376,4,1,FCP,1965,9559,,,
376,4,1,FCP,1966,8513,,,
376,4,1,FCP,1967,7618,,,
376,4,1,FCP,1968,8516,,,
376,4,1,FCP,1969,8363,,,
376,4,1,FCP,1970,10175,,,
376,4,1,FCP,1971,10705,,,
376,4,1,FCP,1972,11218,,,
376,4,1,FCP,1973,11512,,,
376,4,1,FCP,1974,9344,,,
376,4,1,FCP,1975,9072,,,
376,4,1,FCP,1976,8700,,,
376,4,1,FCP,1977,8139,,,
376,4,1,FCP,1978,8583,,,
376,4,1,FCP,1979,7696,,,
376,4,1,FCP,1980,7226,,,
376,4,1,FCP,1981,7579,,,
376,4,1,FCP,1982,7155,,,
376,4,1,FCP,1983,7701,,,
376,4,1,FCP,1984,6857,,12342600,
376,4,1,FCP,1985,6892,,11096120,
376,4,1,FCP,1986,7590,,13813800,
376,4,1,FCP,1987,8215,,14787000,
376,4,1,FCP,1988,8673,,15611400,
376,4,1,FCP,1989,8074,,14533200,
376,4,1,FCP,1990,7902,,18885780,
376,4,1,FCP,1991,7674,,19185000,
